"Farm Name","State","City","location","lat","lon"
"Brett's Garden","Alabama","Abbeville","Alabama, Abbeville",31.5718352,-85.2504893
"Lickskillet Acres","Alabama","Adger","Alabama, Adger",33.376611,-87.0924292
"Indigo Ridge Farms","Alabama","Anniston","Alabama, Anniston",33.6598257,-85.8316318
"Red Briar Farm","Alabama","Ashland","Alabama, Ashland",33.2737256,-85.8360741
"Earnest Roots Farm","Alabama","Ashville","Alabama, Ashville",33.8370433,-86.2544223
"Jen’s Hens","Alabama","Athens","Alabama, Athens",34.8028661,-86.9716741
"Pecan Grove Farm","Alabama","Athens","Alabama, Athens",34.8028661,-86.9716741
"Walden Farms","Alabama","Bessemer","Alabama, Bessemer",33.4017766,-86.954437
"Twin Rivers Farms","Alabama","Black","Alabama, Black",31.0093468,-85.7443772
"511 Rains Farm & Gardens","Alabama","Boaz","Alabama, Boaz",34.2031662,-86.1520969
"Smitherman Cattle","Alabama","Brent","Alabama, Brent",32.9373463,-87.1647184
"The Vogel Farms","Alabama","Brierfield","Alabama, Brierfield",33.0390099,-86.908879
"Milligan Family Farms","Alabama","Buhl","Alabama, Buhl",33.256982,-87.7526658
"Blueberry Havens","Alabama","Camp Hill","Alabama, Camp Hill",32.8004059,-85.6535659
"Cog Hill Farm","Alabama","Clanton","Alabama, Clanton",32.8387371,-86.6294262
"Iron Side Ranch LLC","Alabama","Clanton","Alabama, Clanton",32.8387371,-86.6294262
"Mountain Meadow Farm","Alabama","Columbiana","Alabama, Columbiana",33.1781718,-86.6072054
"Red Hill Farms","Alabama","Cropwell","Alabama, Cropwell",33.5523269,-86.2691438
"Henke Farms","Alabama","Cullman","Alabama, Cullman",34.1748208,-86.8436124
"3191 Farm","Alabama","Decatur","Alabama, Decatur",34.6059253,-86.9833417
"Gin House Branch Farm","Alabama","Decatur","Alabama, Decatur",34.6059253,-86.9833417
"CRB Farms","Alabama","Double Springs","Alabama, Double Springs",34.1464916,-87.4022386
"Lillian Cattle Company","Alabama","Elberta","Alabama, Elberta",30.4143646,-87.5977615
"Carter Sod Farm Alabama","Alabama","Elmore","Alabama, Elmore",32.5387448,-86.3149712
"Living Loudly Acres","Alabama","Eufaula","Alabama, Eufaula",31.8912717,-85.1454876
"Wonderway Farms","Alabama","Eutaw","Alabama, Eutaw",32.8406848,-87.8875145
"Circle G Farms AL","Alabama","Florence","Alabama, Florence",34.79981,-87.677251
"Hills Herefords","Alabama","Florence","Alabama, Florence",34.79981,-87.677251
"TG Farms","Alabama","Florence","Alabama, Florence",34.79981,-87.677251
"Purely Pastured Farm","Alabama","Foley","Alabama, Foley",30.4065868,-87.6835974
"Holland Hill Farms","Alabama","Fort Payne","Alabama, Fort Payne",34.4442547,-85.7196893
"Red Boat Farm","Alabama","Fort Payne","Alabama, Fort Payne",34.4442547,-85.7196893
"Wallace Homestead","Alabama","Fosters","Alabama, Fosters",33.0948441,-87.6858428
"Wolf Thicket Farm","Alabama","Fyffe","Alabama, Fyffe",34.446755,-85.9041395
"Ingram Farms","Alabama","Gordo","Alabama, Gordo",33.3201178,-87.9027962
"Magnolia-Brand Farm & Apiary","Alabama","Gordo","Alabama, Gordo",33.3201178,-87.9027962
"Miller Herefords","Alabama","Grand Bay","Alabama, Grand Bay",30.4763084,-88.3422303
"Benson Family Farms","Alabama","Grant","Alabama, Grant",32.3182314,-86.902298
"WK Farms","Alabama","Hamilton","Alabama, Hamilton",34.1423235,-87.9886438
"Alchemy Farms & Plants","Alabama","Hampton Cove","Alabama, Hampton Cove",34.6673996,-86.4885985
"Sunwise Flowers","Alabama","Hartselle","Alabama, Hartselle",34.4434282,-86.9352842
"West Hart Farm","Alabama","Hartselle","Alabama, Hartselle",34.4434282,-86.9352842
"Sleepy Hollow Blueberry Farm","Alabama","Hayden","Alabama, Hayden",33.8926003,-86.757773
"Witt Farm","Alabama","Hayden","Alabama, Hayden",33.8926003,-86.757773
"Leatherneck Creek","Alabama","Henagar","Alabama, Henagar",34.635084,-85.7671936
"Gardens On Air-A Local Farm","Alabama","Hokes Bluff","Alabama, Hokes Bluff",33.9981546,-85.8663574
"Wide Open Spaces LLC","Alabama","Hokes Bluff","Alabama, Hokes Bluff",33.9981546,-85.8663574
"Hazels Market","Alabama","Holly Pond","Alabama, Holly Pond",34.1742634,-86.616382
"The Mathis Mini Farm","Alabama","Homewood","Alabama, Homewood",33.4717732,-86.8008228
"Fine Folly Minis","Alabama","Horton","Alabama, Horton",34.2009283,-86.2969248
"G6 Family Farm LLC","Alabama","Huntsville","Alabama, Huntsville",34.7303688,-86.5861037
"Howling Fresh Farm","Alabama","Huntsville","Alabama, Huntsville",34.7303688,-86.5861037
"Robinsong Dairy Goats","Alabama","Huntsville","Alabama, Huntsville",34.7303688,-86.5861037
"Harcrow Herefords","Alabama","Ider","Alabama, Ider",34.7142484,-85.6808031
"Ever-Hope Farm","Alabama","Jackson","Alabama, Jackson",NA,NA
"Greenleaf Farms","Alabama","Joppa","Alabama, Joppa",34.2983556,-86.5578001
"Back Woods Farm","Alabama","Kinston","Alabama, Kinston",31.2160045,-86.1710578
"Amason Cattle Co.","Alabama","Lineville","Alabama, Lineville",33.3106696,-85.7544051
"Loxley Farm Market","Alabama","Loxley","Alabama, Loxley",30.6182476,-87.7530454
"Southard Farms","Alabama","Madison","Alabama, Madison",34.6992579,-86.7483318
"Chestnut Hills Farmstead","Alabama","McKenzie","Alabama, McKenzie",31.542384,-86.7149699
"Bill's Honey Farm","Alabama","Meridianville","Alabama, Meridianville",34.8699372,-86.571385
"Grandview Farms","Alabama","Montevallo","Alabama, Montevallo",33.1006746,-86.8641558
